,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
16,17,Andhra Pradesh,Prakasam,19113798621.070427,875962.5602974489,52411,4611,47294,506,1,3392764.0,79.57601987362338,15.570925531635345,307.23,41.71,990.53,2.15,149.39,0.11241099999999998,0.0,0.0,6632.946
17,18,Andhra Pradesh,Kurnool,19139870745.1592,947241.6209140336,57425,1623,55330,472,0,4046601.0,77.99182793475416,15.492646099145723,306.84,37.63,967.0,1.07,178.58,0.05454199999999999,0.0,0.0,6336.412
18,19,Karnataka,Gadag,5041393184.622803,587894.3612415643,9742,607,9000,135,1,1064570.0,75.67731943630146,15.499521844082913,303.21,51.95,941.85,2.2,275.47,0.724874,0.0,0.0,6685.483
19,20,Karnataka,Ballari,9132577172.894476,816596.2481057881,33763,2850,30428,485,1,2452595.0,76.55228565083279,15.126163257539131,304.34,49.87,949.05,1.51,265.09,0.5616979999999999,0.0,0.0,6998.606
20,21,Karnataka,Dharwad,4607790251.703926,488996.9464859017,18393,2630,15251,512,1,1847023.0,75.11955061204903,15.29161542041513,302.47,55.45,943.41,1.79,278.81,1.317965,0.0,0.0,6038.109
21,22,Goa,South Goa,2367914623.587218,328620.2765216249,3511,1978,1407,126,2,639962.0,74.0599055703454,15.247303782958111,302.52,67.75,985.23,2.43,298.32,1.7207580000000002,0.0,0.0,5653.806
22,23,Andhra Pradesh,Sri Potti Sri Ramulu Nellore,14177735248.66179,696336.729795786,55447,2275,52711,461,0,2966082.0,79.62756740213356,14.43841417487342,306.38,46.92,994.29,2.02,146.3,0.189416,0.0,0.0,6895.092
23,24,Karnataka,Chitradurga,9027409729.356993,701685.492824682,8842,1785,7019,38,2,1659456.0,76.60738264240723,14.194351069611209,302.61,55.85,937.9,0.7,289.36,1.165798,0.0,0.0,6690.61
24,25,Karnataka,Davanagere,6351903661.0805435,613890.3637227877,17537,1818,15476,243,2,1945497.0,75.8672242705165,14.350970302237979,302.32,56.95,939.22,1.58,288.33,2.240308,0.0,0.0,6135.644
25,26,Karnataka,Udupi,3806295226.7900853,386810.9689237111,18810,1955,16692,163,2,1177361.0,74.90176619358351,13.513519380149967,301.79,70.11,974.38,2.26,308.41,3.8958839999999997,0.0,0.0,4360.74
26,27,Karnataka,Chikballapur,4517226240.626249,510730.9365195221,8435,1484,6864,86,1,1255104.0,77.78375751958491,13.622711640753291,302.09,53.65,925.78,0.62,88.17,0.75926,0.0,0.0,7010.083
27,28,Karnataka,Hassan,7219958013.74999,673534.8668663462,20014,4220,15468,326,2,1776421.0,76.03273431643053,12.967485268562939,299.33,68.05,921.97,0.87,303.59,4.537192,0.0,0.0,5296.026
28,29,Karnataka,Kolar,4220912374.0624633,515279.4209428069,6659,1434,5122,103,2,1536401.0,78.17699647939963,13.117171374326036,301.39,56.08,924.02,0.91,79.22,0.622057,0.0,0.0,6832.386
