,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude
202,204,Telangana,Nirmal,4182807464.906079,495593.7599904072,1687,1674,13,0,1,709418.0,78.34858295055648,19.098197271860855
203,205,Telangana,Peddapalli,2476749597.6441393,255006.31835269555,3971,3970,1,0,2,795332.0,79.45577695208367,18.66029663184073
204,206,Telangana,Ranga Reddy,5501801650.225718,571591.7709605427,17196,17177,17,2,0,2446265.0,78.42457236427433,17.165166224397137
205,207,Telangana,Sangareddy,4920613914.82014,665846.3338725647,5561,5555,6,0,1,1527628.0,77.92323929850863,17.816618645726454
206,208,Telangana,Vikarabad,3991079844.3195953,437734.99467631103,1484,1468,15,1,0,927140.0,77.75288876570887,17.284825582569894
207,209,West Bengal,South 24 Parganas,8796819511.087929,2860637.1803000523,19083,1773,16954,356,0,8153176.0,88.55730101146696,21.95483562025565
208,210,Andaman and Nicobar Islands,South Andaman,2453221236.884097,1495688.9408125773,51,19,32,0,0,237586.0,92.7502641245009,11.801903383592176
209,211,Puducherry,Puducherry,313881167.6454413,358922.1788439868,25315,3804,21050,461,1,950289,79.72296053972197,11.907349296266686
210,212,Tamil Nadu,Nagapattinam,2864209330.612114,567672.7550341618,5661,484,5090,87,1,1616450,79.70994126266882,10.81755005286665
211,213,Telangana,Bhadradri Kothagudem,7782915649.069736,658280.1078633487,4532,4528,4,0,2,1069261.0,80.78077354568016,17.64584901551283
212,214,Uttar Pradesh,Agra,5120163426.121964,897245.9912853439,6175,534,5511,130,0,4418800.0,78.03602741401185,27.01546748529471
213,215,West Bengal,Jalpaiguri,4274422477.8386455,501976.3362746986,6714,721,5928,65,0,3872846,88.7251591549018,26.56052965388472
214,216,Gujarat,Amreli,8565093316.487331,804821.2356155119,2362,460,1877,25,2,1513614.0,71.25772318271784,21.35834538883432
215,217,Karnataka,Mandya,5242737410.344157,561555.2835442771,12844,1754,10973,117,1,1805769.0,76.86126355483023,12.559231241196729
216,218,Chhattisgarh,Balod,3871641746.1003904,452862.7740064772,2837,665,2164,8,2,826165.0,81.17161477428733,20.752157219809835
217,219,Uttar Pradesh,Amroha,2824405492.2251105,397787.00150374963,3058,465,2552,41,0,1499193.0,78.39770836030706,28.83731769911601
218,220,Arunachal Pradesh,Upper Subansiri,8288549159.438012,544536.6356402646,309,97,212,0,2,83205.0,94.02017103856956,28.08727694930092
219,221,Uttar Pradesh,Hapur District,1457787663.4208732,285781.9668042673,2902,299,2551,52,1,1338211.0,77.84640141450971,28.710442876133847
220,222,Delhi,North Delhi,374781983.9634168,124517.06027887155,60,60,0,0,0,883418.0,77.11686251981567,28.82134348800418
221,223,Uttar Pradesh,Bulandshahr,4564836503.335051,441966.0025642322,3946,448,3433,65,0,3499171,78.086378894492,28.311378484808444
222,224,Delhi,South West Delhi,365433875.1443952,127028.15476816967,42,42,0,0,0,2292363.0,76.97351860443496,28.58491708053097
223,225,Delhi,South Delhi,211694293.4170476,77287.33452284013,70,70,0,0,0,2733752.0,77.1738516634479,28.47781502874503
224,226,Rajasthan,Jhunjhunu,7630806236.438834,592547.8330804027,1976,242,1720,14,1,2139658.0,75.66393422273873,28.122129229799075
225,227,Assam,Tinsukia,4869285319.348788,487726.0680130487,3366,1543,1798,25,2,1316948.0,95.6328782156778,27.498210051044925
226,228,Haryana,Mahendragarh,2496980940.888768,456929.2096551946,3767,386,3374,7,2,921680.0,76.10331856937329,28.126514631256434
227,229,Uttar Pradesh,Budaun,5487316154.868203,519381.2904798229,2873,147,2687,39,1,3681896,78.98234236005072,28.210864078088786
228,230,Rajasthan,Jaisalmer,48677585734.19594,1320649.530893054,956,154,791,11,1,672008.0,71.31152756519148,26.85826327217726
229,231,Uttar Pradesh,Bahraich,6336130557.554482,671433.9449442961,3257,237,2960,60,1,2384239.0,81.59807516092812,27.560503842248178
230,232,Uttar Pradesh,Shahjahanpur,5551844251.198275,802613.6259118363,5892,378,5431,83,2,2549458.0,79.9007953459751,27.99850566571384
231,233,Haryana,Palwal,1733072960.5210962,248223.9044937098,2817,97,2701,19,1,1042708,77.36319432188792,28.072493836640273
232,234,Arunachal Pradesh,Changlang,6401658097.342791,675151.5477695336,900,158,740,2,2,147951.0,96.3080348516603,27.287192493321797
233,235,Arunachal Pradesh,Tawang,3016230295.377064,326814.44938792696,320,48,271,1,2,49950.0,91.91814285115116,27.690620185046892
234,236,Arunachal Pradesh,Papum Pare,4797625772.120491,481660.0384214122,4972,1506,3457,9,2,176385.0,93.50533341297614,27.2561771511032
235,237,Uttar Pradesh,Kasganj,2511903769.9996405,372486.755655304,1401,168,1230,3,1,1438156.0,78.79788960794906,27.74333510567797
236,238,Uttar Pradesh,Mathura,4271840628.726773,468130.1570038922,4277,459,3725,93,0,2069578.0,77.67080026118285,27.58608291435864
237,239,Assam,Lakhimpur,3803107989.049017,426714.7845396745,3006,1854,1135,17,2,1040644.0,94.10817590633303,27.141485841611317
238,240,Uttar Pradesh,Shrawasti,2472143701.6625714,348216.296673218,1039,83,944,12,1,1117361,81.90413485625596,27.670395104742155
239,241,Uttar Pradesh,Sitapur,7326370881.956299,621651.3888683226,3754,306,3399,49,1,3616510.0,80.86387230205982,27.517571003023864
240,242,Uttar Pradesh,Hathras,2277400240.7152405,401881.8756257218,1028,47,974,7,2,1333372.0,78.10374486341503,27.564966703286522
241,243,Uttar Pradesh,Etah,3092733353.62025,568703.60962742,1861,229,1615,17,1,2788274.0,78.7575138446872,27.49133753444736
242,244,Uttar Pradesh,Hardoi,7617324038.718709,666720.7686754572,4821,399,4341,81,1,3397414.0,80.24917131397616,27.303450064712177
243,245,Assam,Sivasagar,1987497935.8950653,309064.0560069597,529,32,473,24,2,1150253.0,94.67001774355448,26.948267156731355
244,247,Assam,Jorhat,2576738021.283805,395207.9125973393,8671,6885,1752,34,2,1091295.0,94.27669973393256,26.645859529009964
245,249,Uttar Pradesh,Firozabad,3070406016.7163672,446768.03778944025,2786,194,2534,58,0,2045737.0,78.52880484137863,27.169405461312845
246,250,Uttar Pradesh,Mainpuri,3473523592.061265,431528.82776953775,2852,181,2623,48,1,1592875.0,79.02185281708468,27.181892525904058
247,251,Uttar Pradesh,Gonda,5042177109.779589,588194.6941434675,4020,360,3613,47,1,2765754.0,82.14113350649146,27.15757091020161
248,252,Assam,Golaghat,4415103605.567828,696715.3265050518,3803,2121,1656,26,2,1058674.0,93.82487382481258,26.448144336859517
249,253,Uttar Pradesh,Barabanki,4857939175.077639,560405.5554302951,6535,443,6021,71,2,2673394.0,81.30132945993856,26.960958275318756
250,254,Uttar Pradesh,Kushinagar,3627731476.071086,523323.7329257588,4981,351,4581,49,2,2923290.0,83.87752900391818,26.870051768232187
251,255,Nagaland,Mokokchung,2012601152.2058094,350894.28287707036,55,11,44,0,2,194622.0,94.51626046406386,26.443263669654833
252,256,Assam,Udalguri,2536327317.411821,488761.7359520272,758,86,666,6,2,832769.0,91.95489408297634,26.623707703103314
253,257,Assam,Chirang,2421100450.315153,316624.72083791124,280,56,219,5,2,481818.0,90.62276100003638,26.60836144061289
254,258,Uttar Pradesh,Sant Kabir Nagar,2067959782.8262188,448483.99092021055,2730,186,2505,39,0,1714300.0,83.03119056668329,26.798957107326974
255,259,Rajasthan,Karauli,6296818213.184202,597467.8218386432,1005,169,823,13,1,1458459.0,76.90407536651352,26.47898300279336
256,260,Uttar Pradesh,Unnao,5738751293.0517645,611943.8069409297,3654,552,3032,70,1,2700426.0,80.65006867682446,26.66300531961502
257,261,Assam,Darrang,1983220440.94814,420435.56624237524,1967,219,1730,18,2,908090.0,91.9518141366804,26.463095956154827
258,262,Rajasthan,Dholpur,3813713175.513125,454744.6014859554,3102,147,2929,26,1,1207293.0,77.72389578488799,26.69692321157788
259,263,Nagaland,Tuensang,2694881513.565613,322045.05247006874,113,31,82,0,2,196596.0,94.74961300644546,26.228058410047485
260,264,Uttar Pradesh,Kanpur Nagar,3753037918.3320327,525784.4538132536,26338,2903,22740,695,0,4137489.0,80.2034457882526,26.374914860332364
261,265,Uttar Pradesh,Auraiya,2537270401.049292,318909.1425644702,2456,244,2179,33,1,1179496.0,79.45441716669488,26.66382543279975
262,266,Assam,Barpeta,2848021914.963253,470876.8601500982,1121,90,1024,7,2,1693190.0,91.0597975910367,26.426295581556538
263,267,Madhya Pradesh,Morena,6242471206.892191,718898.6693126386,2646,83,2540,23,1,1965970.0,77.91791247463881,26.35396171594089
264,268,Uttar Pradesh,Faizabad,3379964270.550798,421103.51760057604,6450,728,5642,80,1,2087914.0,82.0105170636641,26.598849339069446
265,269,Assam,Nalbari,1309160721.6949556,264815.4046205407,948,106,828,14,2,769919.0,91.38396015560443,26.40551529671386
266,270,Uttar Pradesh,Kanpur Dehat,3954448264.680868,423040.33343662607,1767,333,1409,25,2,1584037.0,79.92203320863317,26.47621991137587
267,271,Madhya Pradesh,Bhind,5589049795.640727,664122.798794014,983,24,952,7,2,1703005.0,78.70224312493178,26.32414257907924
268,272,Rajasthan,Sawai Madhopur,6264683387.162876,653444.5636158246,971,113,839,19,1,1338114.0,76.4647624047716,26.255266693276006
269,273,Uttar Pradesh,Deoria,3175395975.7430296,450039.92004760576,5832,269,5489,74,2,2730376.0,83.80259599539147,26.47653245157798
270,274,Rajasthan,Tonk,8976418852.367445,783583.5379092725,1423,112,1289,22,1,1421711.0,75.8012125727681,26.093462532781167
271,275,Telangana,Rajanna Sircilla,1999491599.559264,240821.7976270431,3456,3454,2,0,1,552037.0,78.76000070324176,18.406868456589983
272,276,Telangana,Warangal Rural,2315978458.624556,335776.7811030367,2399,2399,0,0,2,718537.0,79.73754210192824,17.913541409753766
273,277,Telangana,Yadadri Bhuvanagiri,3603074633.884839,402713.5013987243,2602,2602,0,0,2,739448.0,78.97439985973445,17.474267969895887
274,278,Odisha,Kendrapara,2903080269.118953,418810.09756871726,6000,1073,4913,14,1,1440361,86.56247735393131,20.580759032743664
275,279,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,565676122.8722451,247012.1311687068,1516,55,1455,1,2,343709,73.03147417307648,20.197844003157506
276,280,Odisha,Ganjam,9497554046.42722,735689.0810504011,20505,192,20084,229,2,3529031.0,84.55787336709082,19.559439064587778
277,281,Tamil Nadu,Cuddalore,3895254756.8361344,552674.5279884376,21281,1225,19812,244,1,2605914.0,79.48374188005785,11.589984737988795
278,282,Tamil Nadu,Ramanathapuram,4418487780.590079,844671.2303368191,5678,156,5402,120,1,1353445.0,78.83704073913071,9.41581124471154
279,283,Delhi,North East Delhi,44876678.15913832,45699.26411873613,25,25,0,0,0,2240749.0,77.24901596053719,28.7321498067055
280,284,Delhi,New Delhi,204409942.47356653,87850.726672744,37,37,0,0,0,133713.0,77.16538669015333,28.555873497978276
281,285,Telangana,Wanaparthy,2370928424.6536183,330336.5522920903,2480,2480,0,0,2,577758.0,78.07339001390804,16.31002298703722
282,286,Odisha,Angul,7357267874.264158,660315.540582062,5203,1054,4141,8,2,1273821.0,85.00055168436059,21.134576277021452
283,287,Gujarat,Dang,2027019849.495001,293789.1150318924,108,3,105,0,1,226769.0,73.70836385517536,20.813164506767023
284,288,Chhattisgarh,Dhamtari,4685017060.78639,470530.9870896529,2890,271,2608,11,2,799781,81.72483653122971,20.64447382775948
285,289,Odisha,Gajapati,4647876780.515438,548454.9236930496,3677,68,3585,24,2,577817.0,84.16789721040247,19.11495812178502
286,290,Andaman and Nicobar Islands,North and Middle Andaman,3486125843.9065704,2694024.380279899,1,0,1,0,2,105597,92.85849100514163,12.811750503098436
287,291,Karnataka,Ramanagara,3713268497.3370094,476884.5795326601,5978,879,5043,56,2,1082636.0,77.31456749345291,12.689885912172107
288,292,Andaman and Nicobar Islands,Nicobars,1719339557.2039232,898607.7335860321,0,0,0,0,2,36819.0,93.57295913527,7.769147100945876
289,293,Arunachal Pradesh,Anjaw,8393805762.554352,466057.050852009,153,44,109,0,2,21089.0,96.9540812527156,27.927319874635874
290,294,Assam,Dhemaji,3172927522.178113,459070.9957074814,765,319,440,6,2,688077.0,94.60295296873916,27.533857296779264
291,296,Arunachal Pradesh,Tirap,1375923044.6464446,193458.46173709078,366,93,273,0,2,111997.0,95.53711234028263,27.123468614747583
292,297,Nagaland,Mon,2691191894.725689,344579.9123397875,420,80,331,2,2,250260.0,95.00142670914349,26.724560503954176
293,298,Nagaland,Longleng,695054389.9682858,201886.9246677215,13,1,6,0,2,50484.0,94.79633823567525,26.629306649995915
294,299,Uttar Pradesh,Kannauj,2643850176.169274,354725.64992213936,2593,157,2401,35,1,1385227.0,79.6288294578288,27.024208660345984
295,300,Assam,Baksa,3055675975.6668863,556608.5567904782,687,234,447,6,2,953773.0,91.45394024515343,26.582656240731595
296,301,Assam,Kokrajhar,3924564841.0196633,448699.75580354093,408,45,353,10,2,930404.0,90.13477384621332,26.391612302034346
297,302,Uttar Pradesh,Etawah,2930559816.3104672,373560.1782550947,4306,397,3844,65,1,1340031.0,79.04872108761789,26.745852283709482
298,303,Uttar Pradesh,Sultanpur,3061952688.7079983,484637.9334803056,3429,301,3071,57,1,3190926.0,82.30666070416895,26.252519612736965
299,304,Rajasthan,Pali,15317415844.09089,989284.2022642428,6188,228,5892,68,1,2038533.0,73.55674218308384,25.739610307220328
300,305,Assam,Kamrup Metropolitan,1234915744.82653,246445.6275218507,44953,30252,14599,102,2,1260419.0,91.9247221484109,26.104520760266393
301,306,Uttar Pradesh,Azamgarh,5243196777.111924,566916.898040398,4824,487,4262,75,1,3950808.0,83.04910814249045,26.029785446885327
302,307,Madhya Pradesh,Gwalior,5676052566.116476,445864.1208398657,11011,1110,9763,138,0,2032036.0,78.19113360170455,26.090876221968898
303,308,Uttar Pradesh,Ballia,3711648438.878218,494826.34894406406,6186,495,5608,83,2,2752412.0,84.01827529172752,25.864251950858655
304,309,Bihar,Samastipur,3327007888.4556856,509972.373216649,4324,236,4059,29,2,4261566.0,85.94962040625802,25.795089526886798
305,310,Rajasthan,Bundi,7090132671.376175,549568.8380753901,1275,94,1173,8,2,1113725.0,75.83275013536496,25.510836809432405
306,311,Bihar,Katihar,3747668228.128681,539345.305757986,5898,288,5599,11,2,3071029.0,87.72460197353844,25.607946354035505
307,312,Rajasthan,Kota,6268232539.257074,720174.3880759992,9385,795,8485,105,0,1950491.0,76.13580469793926,25.13296442629546
308,313,Uttar Pradesh,Allahabad,6725851139.946601,654740.5978264826,20676,1860,18523,293,1,5954391,81.89469678480894,25.36559223041493
309,314,Uttar Pradesh,Varanasi,1886363783.8684914,332266.4118065573,15241,1824,13134,283,0,3147927.0,82.84739523829684,25.375098335015583
310,315,Bihar,Darbhanga,3122477728.993326,538304.353963031,3307,184,3103,20,1,3937385.0,86.04053748940048,26.108796174575023
311,316,Rajasthan,Baran,8545512170.506942,710410.6662519809,1345,88,1232,25,2,1223921.0,76.79779788849142,24.98632878954058
312,317,Rajasthan,Udaipur,14185448231.286526,977939.8015257858,5244,429,4763,52,1,3067549.0,73.7157174934269,24.413827723815533
313,318,Madhya Pradesh,Rewa,7667079351.766853,734727.122142378,1850,213,1609,28,2,2365106.0,81.6054850965435,24.793017317833677
314,319,Bihar,Nawada,3038175714.8171463,424076.0179839664,2907,313,2578,16,1,2219146.0,85.59505992740111,24.822109276304825
315,320,Bihar,Gaya,6046023704.855162,689330.1687076122,5968,342,5581,45,0,4391418.0,84.86503181792558,24.64330732636434
316,321,Rajasthan,Jhalawar,7671896680.544251,843050.0974095088,2491,107,2373,11,0,1411327.0,76.08156965346726,24.264970787088714
317,322,Jharkhand,Pakur,2201687060.190328,374810.33974036854,794,122,670,2,2,900422.0,87.6880206623997,24.580971322855348
318,323,Madhya Pradesh,Mandsaur,6705957016.067888,622770.1962190797,1603,122,1464,17,1,1340411.0,75.49260755940755,24.215230762731135
319,324,Bihar,Munger,1731195118.2014682,300961.16112487373,3164,234,2894,36,0,1367765.0,86.57798859698103,25.168105246816502
320,325,Mizoram,Aizawl,4222505406.465653,482422.5801033479,1394,72,1322,0,2,339812.0,93.00205372118829,24.148584709021087
321,326,Jharkhand,Deoghar,3004783119.310226,347764.3856877725,2672,153,2504,15,1,1492073.0,86.7537638655843,24.289013634698218
322,327,Jharkhand,Palamu,5302082127.995914,529854.8997608492,2841,122,2708,11,2,1939869.0,84.22216221838897,24.199108614530598
323,328,Jharkhand,Chatra,4492830790.296565,584303.6718379171,1229,126,1095,8,2,1042886.0,84.97544284904433,24.140638327987226
324,329,Tripura,Sipahijala,1246303510.7750845,284706.4479981593,2613,109,2480,24,2,"484,233",91.34943166905437,23.58293008581928
325,330,Madhya Pradesh,Vidisha,8774035044.529922,753938.4526352047,1795,171,1588,36,1,1458875.0,77.82870107944822,23.793650914425175
326,331,Gujarat,Mehsana,5254775133.563046,666350.3463748295,3081,847,2204,30,1,2027727.0,72.3951993958405,23.534454173670053
327,332,Rajasthan,Dungarpur,4544680098.7954855,426564.47565984033,2070,214,1839,17,1,1388906.0,73.83607125076696,23.71915670379406
328,333,Jharkhand,Dhanbad,2450499151.549298,250339.4985537928,5429,527,4835,67,1,2684487.0,86.35075911875798,23.887037627873852
329,334,Jharkhand,Bokaro,3457778569.119748,474606.5816593964,4372,444,3896,32,1,2062330.0,86.00254887551003,23.691095311342863
330,335,Jharkhand,Ramgarh,1669212116.6097546,369989.77155408944,3656,164,3471,21,2,949443.0,85.56611229942257,23.648194918269446
331,336,Madhya Pradesh,Bhopal,3304232243.401012,421420.42314211023,18931,1974,16543,414,0,2371061.0,77.3795486279923,23.485197922532667
332,337,Madhya Pradesh,Ujjain,7267950421.761548,802691.5888569424,3102,245,2761,96,0,1986864.0,75.68398787632982,23.293461177853217
333,338,Gujarat,Ahmedabad,8236691019.453779,987619.2593920024,38381,3614,32929,1838,0,7045313.0,72.23928414741097,22.84623274459388
334,339,Jharkhand,Ranchi,5967320594.3098545,703461.6994728914,21414,2993,18286,135,0,2914253.0,85.35986849192754,23.28294950910655
335,340,West Bengal,Hooghly,3714098917.792247,558737.2926168065,14110,1388,12473,249,1,5520389.0,87.97711050131153,22.877455327579977
336,341,Madhya Pradesh,Indore,4616757364.14656,554842.6359715828,27289,4554,22127,608,0,3276697.0,75.83316391376206,22.711411463941182
337,342,Jharkhand,East Singhbhum,4198777068.231749,464467.86166929064,14859,1619,12927,313,2,2293919.0,86.49379263103972,22.56852088512721
338,343,Gujarat,Vadodara,4754400411.248236,529100.5435590632,13107,2132,10780,195,0,3093795.0,73.3291279941019,22.248945128053922
339,344,West Bengal,Howrah,1706318210.0707762,276714.14778507396,19881,1367,17908,606,0,4850029.0,88.07746193106513,22.643576863506908
340,345,Madhya Pradesh,West Nimar,9364767926.210121,745375.1040203101,3482,233,3201,48,1,1873046.0,75.78182643571868,21.968101401322716
341,346,Gujarat,Bharuch,5944309840.157407,660798.3292784069,2439,253,2171,15,1,1550822.0,73.07929156373964,21.722781016220054
342,347,Chhattisgarh,Janjgir - Champa,4510304490.867512,423964.06338249607,6131,1655,4439,37,2,1619707,82.79845127216429,21.98275169437934
343,348,Maharashtra,Amravati,14117651666.385098,1014017.1548751077,14769,1921,12543,305,1,2606063.0,77.6210371058548,21.18681845362776
344,349,Gujarat,Surat,4976610389.321245,573579.2934618569,31402,2497,28113,792,0,6079231.0,73.19328663944454,21.186490817245982
345,350,Maharashtra,Nagpur,11434507540.8136,700271.5075508542,84124,10862,71011,2241,0,4051444.0,79.08168326054698,21.151587188740077
346,351,Jharkhand,Koderma,1997641301.598625,347205.77587583405,3084,273,2786,25,1,716259.0,85.69082862246428,24.51918980237565
347,352,Jharkhand,Hazaribagh,5296253039.917987,735356.9978104165,3724,465,3234,25,1,1734495.0,85.39697538743455,24.095206576731005
348,353,Bihar,Begusarai,2368298000.2271147,407076.5870919663,6516,181,6310,25,1,2970541.0,86.1124282545381,25.53640446068315
349,354,Bihar,Bhagalpur,3137049329.8548303,438021.38081028155,7666,320,7284,62,1,3037766.0,87.05686316857968,25.25824823863266
350,355,Bihar,Patna,3956207469.320617,638732.1028369832,29943,2346,27373,224,0,5838465.0,85.25425523176119,25.405383234280038
351,356,Bihar,Saran,3326626621.432961,386203.7906077221,5678,238,5407,33,1,3951862.0,84.80517565166724,25.869907866960673
352,357,Bihar,Siwan,2760389743.72819,350034.4373645071,3844,271,3554,19,1,3330464.0,84.37181964752418,26.194378127251657
353,358,Bihar,Muzaffarpur,3961579374.1351476,482381.0577459018,8691,491,8168,32,2,4801062.0,85.39178375711906,26.212653610665537
354,359,Bihar,Madhepura,2229308523.872256,383561.11342272203,3609,370,3230,9,1,2001762.0,86.9172396573463,25.750307727946662
355,360,Bihar,Supaul,3019409959.293661,421098.0122031675,4447,314,4124,9,2,2229076.0,86.75124538716857,26.28303655126517
356,361,Bihar,Madhubani,4381816450.101924,540900.2722376181,6454,331,6105,18,1,4487379.0,86.210821448227,26.374085282497234
357,362,Chhattisgarh,Surajpur,6505616268.170148,655438.8454635928,2031,449,1570,12,2,660280.0,82.84120611462899,23.422715133314195
358,363,Chhattisgarh,Baloda Bazar,5424355189.725379,532761.2176611135,3583,270,3291,22,2,1305343.0,82.35107203658815,21.52430109100466
359,364,Chhattisgarh,Surguja,4746673276.615446,493205.3626189258,3062,745,2291,26,2,840352.0,83.29950797768981,22.948437322634522
360,365,Uttar Pradesh,Ghaziabad,1190187235.9113724,252346.7094265196,15771,1663,14028,80,1,3289540.0,77.4840359824402,28.744180875050304
361,366,Tripura,West Tripura,1130627355.9898055,201636.3445843175,9940,1331,8436,162,2,1725739,91.38234466128822,23.899184295555063
362,367,Delhi,South East Delhi,132151569.80145252,60225.19098632053,130,130,0,0,0,637775.0,77.28990257206472,28.548170168546704
363,368,Rajasthan,Ajmer,10597864235.05066,941869.0821893816,7639,308,7219,112,0,2584913.0,74.73431272390508,26.168627007105524
364,369,Madhya Pradesh,Chhatarpur,10572274420.112478,1114683.3800879018,1323,107,1190,26,2,1762375.0,79.572670150255,24.764120910175276
365,370,Gujarat,Sabarkantha,4971782194.26034,641132.5438893092,1212,272,929,11,1,1388671.0,73.06668727414339,23.821604364557793
366,371,Gujarat,Kutch,50180419583.61116,2139246.581708469,2319,768,1518,33,1,2090313.0,70.37264616363119,23.371597614837665
367,372,Gujarat,Rajkot,8883419584.26461,1034893.12242175,10413,1213,9054,146,1,3015229.0,70.76956544067815,22.095360244486567
368,373,Gujarat,Kheda,4012508511.9138923,518923.7910013584,1360,73,1272,15,1,12053769.0,72.94500095404575,22.846115253246506
369,374,Gujarat,Bhavnagar,7965461688.0821905,689485.4473749922,4414,293,4054,67,0,2393272.0,71.93583324849841,21.50085071149696
370,375,Bihar,Kishanganj,2474760065.604127,465481.325628301,3240,190,3040,10,2,1690400.0,87.9734349372457,26.24822864202541
371,376,Gujarat,Jamnagar,7758915524.758158,1181420.5191105432,6815,370,6410,35,1,1407635.0,70.2189669019777,22.48591994502515
372,377,Ladakh,Leh,231679278920.1241,3910258.2475101473,3073,953,2094,26,1,147104.0,76.94013609937005,34.43995854720253
373,378,Jammu and Kashmir,Anantnag,4011932262.159936,471288.3982847497,3707,313,3325,69,0,1069749.0,75.23419148571507,33.81932493760922
374,379,Jammu and Kashmir,Srinagar,585347491.5852861,193115.7633052565,16164,1776,14078,310,0,1236829.0,74.90814273267745,34.11523168674654
375,380,Jammu and Kashmir,Pulwama,1314758408.7140286,223067.58556399046,4169,352,3745,72,2,570060.0,74.94303838420724,33.90717951529239
376,381,Jammu and Kashmir,Jammu,3328595711.632232,492195.76952317,14950,1610,13128,212,1,1526406.0,74.76621145633982,32.838327989362995
377,382,Himachal Pradesh,Kangra,8025186845.304499,683605.961327297,2512,363,2096,53,1,1507223.0,76.44513632085993,32.11790705646666
378,383,Punjab,Hoshiarpur,4678944889.342664,514813.1502422749,4906,502,4226,178,1,1582793.0,75.86571732062305,31.512302984044695
379,384,Punjab,Amritsar,3708718772.596182,449970.7636107632,10827,823,9606,398,1,2490656,74.94576832442738,31.682574080506857
380,385,Himachal Pradesh,Shimla,7029470115.740707,656321.4996460757,1516,344,1119,45,2,813384.0,77.57244279492862,31.18739448470247
381,386,Punjab,Jalandhar,3621063397.277788,540668.104915056,13713,1005,12283,425,0,2181753.0,75.52868186036663,31.295724552772246
382,387,Punjab,Rupnagar,1878881760.7930613,393215.43570769,2229,358,1781,90,2,683349.0,76.5139846605077,31.10292687807311
383,388,Uttarakhand,Dehradun,4186572765.338594,592796.0813617889,14497,2633,11477,332,1,1695860.0,77.96198181713885,30.507188930955365
384,389,Punjab,Sahibzada Ajit Singh Nagar,1477915818.0977714,376644.2622590881,10963,952,9818,193,1,986147.0,76.7542978427692,30.636539714052848
385,390,Punjab,Faridkot,1999600407.6649168,258355.06725357586,2889,239,2599,51,1,618008.0,74.75150520818386,30.63266007429675
386,391,Punjab,Fatehgarh Sahib,1567719449.3887475,291323.7505895376,1988,94,1800,94,2,599814.0,76.39424621774022,30.638374307315
387,392,Punjab,Sangrur,4858328439.326546,579607.4643752759,3678,148,3375,155,1,1654408.0,75.88824684258938,30.223831353085725
388,393,Punjab,Barnala,1920924157.0774765,288457.55502003,1889,232,1610,47,1,596294.0,75.48343719510291,30.38873682881787
389,394,Punjab,Bathinda,4505669820.602816,495446.1379752243,6320,1273,4919,128,2,1388859.0,75.11576623796974,30.18335542135928
390,395,Punjab,Patiala,4417872714.291164,728010.8885585953,11977,726,10903,348,0,1892282.0,76.40468628738579,30.27835105578559
391,396,Rajasthan,Ganganagar,14423235911.655178,975333.3408499896,1863,255,1589,19,2,1969168,73.76533949194881,29.297494952794747
392,397,Uttarakhand,Haridwar,3056682483.7757173,336783.85462437826,10044,1528,8371,105,0,1927029.0,77.93422070744512,29.898458130911866
393,398,Haryana,Kaithal,3062401933.504485,399797.35046854435,2606,235,2330,41,1,1072861.0,76.3727032204704,29.892523152060505
394,399,Haryana,Sirsa,5672844930.703997,498453.6391039175,4161,442,3649,70,1,1295114.0,74.9803784740452,29.586694019300076
395,400,Rajasthan,Hanumangarh,12796945953.20924,1091321.7445998285,1085,161,919,5,1,1779650.0,74.7779036433069,29.163921380602265
396,401,Haryana,Karnal,3263828960.904214,366768.9371512597,7745,614,7020,111,1,1506323.0,76.95324521219388,29.729237298556065
397,402,Haryana,Fatehabad,3353630553.0674233,381009.200572584,2506,281,2180,45,1,941522.0,75.56760776058536,29.581705069597966
398,403,Uttar Pradesh,Muzaffarnagar,3622076724.3849626,401092.769236146,5221,555,4590,76,0,3541952.0,77.65668298981427,29.4054497849288
399,404,Haryana,Hisar,5367512021.337421,489519.8865720248,7079,962,6035,82,1,1742815.0,75.80801050553634,29.225810611418847
400,405,Uttarakhand,Nainital,5266857867.9878435,507186.73586123716,6241,737,5350,124,1,955128.0,79.47671257451876,29.305872679891188
401,406,Haryana,Panipat,1672564165.8008304,230938.62724165164,7577,388,7096,93,1,1202811.0,76.96060852920468,29.35356873357302
402,407,Uttarakhand,Udham Singh Nagar,3507423530.2701263,662543.2245037748,8780,543,8090,69,2,1648367.0,79.43837597551307,29.024080667096673
403,408,Uttar Pradesh,Baghpat,1737579443.9999053,254094.5117853623,1370,116,1230,24,1,1303048,77.31853259893607,29.09587169434918
404,409,Uttar Pradesh,Meerut,3404582671.880609,373056.07667134935,11041,1884,8892,265,0,3001636.0,77.77733394534278,29.013536553703485
405,410,Rajasthan,Bikaner,39093040440.18218,1388718.616507488,7971,855,6998,118,1,2367745.0,73.52588176813165,28.15283069145615
406,411,Uttar Pradesh,Rampur,3093110561.2701716,471292.28767879936,4819,206,4568,45,0,1922450.0,79.0916308070165,28.817804142652996
407,412,Haryana,Rohtak,2196371575.1691675,286398.8996111992,6436,691,5676,69,1,1058683.0,76.50696858155624,28.911385092495674
