,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude
45,46,Tamil Nadu,Madurai,3846793645.6228476,559348.2379135479,17214,714,16105,395,0,3038252.0,78.03703598142519,9.938065866018745
46,47,Tamil Nadu,Theni,2971530529.2686725,348226.7174253666,15425,469,14773,183,1,1245899,77.48970161951593,9.987371371281183
47,48,Kerala,Alappuzha,1465198432.9431894,299423.69074025465,18459,5549,12849,53,1,2121943.0,76.50099807045122,9.370403047616287
48,49,Kerala,Kottayam,2282534811.725041,321896.9750139072,13807,4934,8845,28,0,1979384.0,76.74106402989332,9.548019976687483
49,50,Kerala,Pathanamthitta,2738525758.349063,406371.5876651089,9961,2946,7008,6,1,1195537.0,76.78408571987704,9.340757729927027
50,51,Tamil Nadu,Thoothukudi,4809175078.244572,528683.262103781,13916,507,13286,123,1,1750176.0,78.01257246178581,8.918768231592253
51,52,Kerala,Kollam,2564589639.875364,349910.2001201331,19581,8770,10737,70,1,2629703.0,76.8380824696663,8.962447706814418
52,53,Kerala,Thiruvananthapuram,2247285799.2792354,286375.49875221483,41938,11695,29917,291,1,3307284.0,77.01714991762097,8.60192396766601
53,54,Tamil Nadu,Kanniyakumari,1735249881.8434374,259327.4406314196,13504,828,12446,230,1,1870374.0,77.34129078392164,8.294303009931783
54,55,Andhra Pradesh,West Godavari,9213436318.34489,695451.1389353261,71917,5574,65877,466,1,3934782.0,81.28868470878416,17.020479930555517
55,56,Chhattisgarh,Dantewada,3668170654.7248244,527174.2103448,2926,616,2301,9,2,719065.0,81.40680555001018,18.882040873964062
56,57,Chhattisgarh,Kondagaon,5762083248.699779,505207.61286750133,1652,402,1240,10,2,578326.0,81.68456096464746,19.67734772734457
57,58,Chhattisgarh,Raipur,3362031460.407383,319408.7830479125,36235,9491,26276,468,0,2160876.0,81.80672218774933,21.240164101534585
58,59,Chhattisgarh,Durg,2657125882.9021287,374366.3428235219,12938,2418,10372,148,2,1721726.0,81.37685080688362,21.192572161453576
59,60,Maharashtra,Thane,4815896846.117864,474036.4927453579,198452,31770,161616,5065,0,8131849.0,73.29423160088305,19.30464829377256
60,61,Telangana,Adilabad,4522538570.187338,410127.8722632861,1783,1768,15,0,1,708972.0,78.57377572906489,19.545304270075945
61,62,Telangana,Karimnagar,2382569543.708867,316338.23162630026,9311,9295,16,0,1,1005711.0,79.1773166780813,18.396674892688115
62,63,Telangana,Khammam,5009281181.042455,648371.9508718593,6555,6552,3,0,1,1401639.0,80.41433924163972,17.11053723626525
63,64,Telangana,Mahabubnagar,2998842126.8481803,371679.3714739736,3432,3424,8,0,1,1486777.0,77.94058294248941,16.72249125301945
64,65,Telangana,Nalgonda,7910053778.563592,499066.3868769947,8165,8153,12,0,1,1618416.0,79.08612158406153,16.846619079843904
65,66,Odisha,Subarnapur,2723054908.501145,372435.8587093175,3476,487,2980,9,2,610183.0,83.80366317053132,20.94688967910267
66,67,Odisha,Cuttack,4415655480.4869175,679379.0232232617,22532,2277,20169,86,2,2624470.0,85.7386253060402,20.419959146305352
67,68,Odisha,Kandhamal,9143813608.39957,696490.5965381698,4972,389,4559,24,2,733110.0,84.00939665094788,20.026245769796347
68,69,Odisha,Khordha,3293100620.883161,696394.9347983672,42280,4835,37276,169,1,2251673,85.60309493317543,20.103107254873553
69,70,Odisha,Jagatsinghapur,1978904790.1792905,287538.00387400604,5867,612,5242,13,2,1136971,86.354159100848,20.224081775478574
70,71,Maharashtra,Ahmednagar,19276813052.036892,1461739.4257815396,47249,9177,37350,722,1,4088077.0,74.6389043225111,19.213242184540707
71,72,Maharashtra,Mumbai City,159725749.89086846,76521.2649582103,219961,26544,183742,9248,0,3326837.0,72.82575739024934,18.97203345854446
72,73,Goa,North Goa,1549627781.1652615,283353.0477886213,2668,1639,964,65,2,817761.0,73.94589544292315,15.590717796592118
73,74,Tamil Nadu,Perambalur,1826501327.1462,312770.4318363633,1951,97,1834,20,1,565223,78.89206475046696,11.250910801865501
74,75,Tamil Nadu,Tiruppur,5190013542.216722,680906.8881771283,9499,1156,8189,154,0,2479052.0,77.40372593844381,10.92861542949972
75,76,Telangana,Hyderabad,211377521.5989084,103800.6004700974,63283,62955,305,23,0,3943323.0,78.46506363661187,17.39481389860583
76,77,Telangana,Dharmapuri,3217130245.8741717,304021.4867592057,3947,3945,2,0,1,1506843.0,78.86021194810245,18.829978199405744
77,78,Telangana,Jangaon,2539364242.059119,313627.7973629322,2486,2485,1,0,1,566376.0,79.23915017456514,17.720267763481512
78,79,Telangana,Mancherial district,4411928858.118622,466705.62113031576,3445,3444,0,1,1,807037.0,79.49100999155144,19.03548232488522
79,80,Telangana,Medchal–Malkajgiri,1189279046.0673516,225510.24157913146,12428,12418,9,1,0,2440073.0,78.5711240586586,17.53813444893136
80,81,Madhya Pradesh,Burhanpur,3744482872.283613,362667.29249548353,738,28,685,25,1,757847.0,76.3768876480457,21.330630880978404
81,82,Maharashtra,Wardha,7254509564.374716,542747.0572012535,5236,1676,3465,94,2,1230640.0,78.65494313037061,20.80065901972194
82,83,Maharashtra,Buldhana,11157982636.6539,807002.8239181949,8762,2966,5664,132,1,2232480.0,76.3751736405586,20.508350595754475
83,84,Gujarat,Valsad,3374803164.1078877,540727.0063777982,1201,43,1149,9,1,1703068.0,73.09985818483945,20.384127089469406
84,85,Maharashtra,Akola,6239547045.289639,655851.9525282528,7762,939,6576,246,0,1818617.0,77.08230050274364,20.742974147078183
85,86,Maharashtra,Gadchiroli,16494623501.424278,997944.535562728,2977,801,2159,17,2,970294.0,80.32495109668947,19.913030096262784
86,87,Maharashtra,Hingoli,5541291411.638645,582693.7322468663,3250,613,2573,64,1,987160.0,77.08238719300309,19.536485803894593
87,88,Andhra Pradesh,Vizianagaram,6907371103.989055,881094.0042453121,36587,2011,34354,222,2,2342868.0,83.39478170230848,18.51984093227281
88,89,Maharashtra,Latur,8034782818.265489,577198.4206296577,18715,3803,14380,532,1,2080285.0,76.86796809025797,18.386257109631682
89,90,Maharashtra,Solapur,16486706441.687159,1339132.9674875413,38683,5413,32045,1224,0,3849543.0,75.36534810386847,17.757307159761048
90,91,Maharashtra,Satara,11603435475.823185,742474.3772837473,40905,7984,31740,1179,0,2796906.0,74.16900287572419,17.690494844270546
91,92,Maharashtra,Ratnagiri,9133017792.75673,814996.5969054031,9008,1940,6772,296,1,1696777.0,73.40898751150948,17.244485461644253
92,93,Maharashtra,Kolhapur,8416073819.33511,981307.2035599528,45197,4828,38943,1426,1,3515413.0,74.15643861292897,16.406333621747002
93,94,Karnataka,Belagavi,14621548325.827318,1141904.84099023,20760,1507,18943,310,1,4779661.0,74.71597426853786,16.191472321815066
94,95,Karnataka,Raichur,9197327618.744982,570202.3925033353,12331,1222,10969,140,2,1928812.0,76.97455646441796,16.153176469592967
95,96,Karnataka,Koppal,6036242451.615291,564231.4076290581,12235,1218,10771,246,2,1389920.0,76.15648770759461,15.68733949333465
96,97,Karnataka,Uttara Kannada,11056813045.725864,807048.2201068203,10716,2084,8508,124,1,1437169.0,74.67150619556286,14.675383308660772
97,98,Karnataka,Haveri,5187074540.385383,487974.7723256697,9269,1209,7890,170,2,1597668.0,75.3177325205654,14.703241863528726
98,99,Andhra Pradesh,Anantapur,20526025007.407543,1472203.9793929881,59638,1472,57653,513,1,4083315.0,77.63816187616614,14.284748147144503
99,100,Karnataka,Shivamogga,9061860997.793972,775321.7368006762,18251,2871,15068,312,2,1752753.0,75.21538719908254,14.18473257697597
100,101,Karnataka,Chikkamagaluru,7660951117.320702,610999.503872837,10032,1444,8461,127,2,1137961.0,75.6441115122529,13.372996933137738
101,102,Karnataka,Kodagu,4331947102.649507,479561.5229269069,3345,684,2615,46,2,554519.0,75.79091241918461,12.456817125476949
102,103,Tamil Nadu,Dharmapuri,4729780489.44101,532518.1183093565,4382,724,3626,32,1,1506843.0,78.27264413161683,12.111795461748146
103,104,Karnataka,Chamarajanagar,5936966023.483511,604931.7016451247,4839,1061,3683,84,2,1020791.0,76.93202327415604,11.903323837347235
104,105,Tamil Nadu,Salem,5494393377.632179,704432.4470045271,22408,2306,19737,365,1,3482056.0,78.19933332651168,11.698614667045211
105,106,Kerala,Malappuram,3710886919.141331,409487.626369617,30126,7880,22149,90,1,4110956.0,76.13973589785142,11.055232347902518
106,107,Tamil Nadu,Tiruchirappalli,4689782068.379453,805262.2904773104,11149,696,10297,156,1,2722290.0,78.50669784084322,10.832286429088322
107,108,Kerala,Palakkad,4671519967.852761,551293.2725954339,15737,5944,9753,39,1,2810892.0,76.50821103623008,10.819853575601787
108,109,Tamil Nadu,Thanjavur,3560887891.271549,650915.1605407646,13108,1243,11670,195,0,2405890.0,79.28413530910852,10.66855063162539
