Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2020-05-01;24:00;299.90;70.39;998.72;0.61;294.65;0.822183;0.000000;0.000000;6882.5930
2020-05-02;24:00;299.66;71.89;997.95;0.42;29.19;2.355054;0.000000;0.000000;3284.5450
